State 	ExpPrior[ Recombination rate ]	Coalescent	treeLikelihood	 num.patterns	 num.nodes	popSize	rec.rate	kappaR	kappaY	site.height	site.bps	total.bps	 mc.speed 
14495000	-5.1933	130.2926	-16268.266177142375	607	30	0.00343896	49.360772	1.107154	1.109509	0.011140071962106098	3	3	14492.75
14500000	-3.8374	122.0164	-16265.305535121253	617	30	0.00500716	15.46339	0.920925	0.876373	0.010409266240577083	2	2	14880.95
14505000	-4.8162	133.3685	-16262.482274448364	603	30	0.00378166	39.931916	1.042856	1.570271	0.01356998762213697	3	3	14705.88
14510000	-4.4825	125.3004	-16262.392689868779	596	29	0.00492424	31.589594	0.878285	1.136217	0.011720504878078755	2	2	14836.8
14515000	-6.3117	132.8079	-16256.825274707095	592	29	0.00320607	77.321401	0.955549	1.181652	0.012078845901969502	3	3	14084.51
14520000	-8.8394	174.239	-16266.033370067691	609	32	0.002914095	140.512164	0.978691	1.050677	0.012470911775810412	6	7	14880.95
14525000	-5.2594	127.5324	-16260.958848195518	581	29	0.00407616	51.012589	1.117985	1.301624	0.011059027096189035	2	2	15151.52
14530000	-4.518	132.5399	-16261.405964346164	575	28	0.00455854	32.479021	1.053159	0.771152	0.0112096935813668	3	3	14880.95
14535000	-5.1532	140.5741	-16266.340128679698	585	28	0.00421424	48.357756	1.207307	0.732177	0.011637671205424166	3	4	15105.74
14540000	-3.7522	125.7164	-16267.91832617263	585	29	0.00527936	13.334302	0.845267	1.513814	0.011167294854438271	2	2	15105.74
14545000	-5.1597	125.0594	-16260.918451098309	593	29	0.00349166	48.520813	1.215865	0.742701	0.011793888367892545	2	2	15337.42
14550000	-5.147	127.239	-16262.14931968986	575	28	0.00568557	48.204121	1.048173	1.61486	0.012270885649429696	2	3	15015.02
14555000	-5.5094	144.9624	-16269.171744519874	613	31	0.00370682	57.262803	1.17298	0.788322	0.012950158185686298	3	4	13623.98
14560000	-3.8411	132.2226	-16267.09333482729	656	35	0.00316682	15.554672	1.206819	0.635653	0.010841031641324803	3	3	14970.06
14565000	-4.3413	133.4659	-16267.3634466177	581	28	0.00379696	28.05976	0.921225	0.849315	0.012416139045964588	3	3	15197.57
14570000	-6.7827	125.1013	-16261.308197717255	592	29	0.00416069	89.095172	1.169235	1.077351	0.011992471920175569	2	2	14925.37
14575000	-4.4436	124.4194	-16264.625611801785	583	28	0.00418061	30.619005	1.175344	0.917775	0.013094597115562014	2	2	14792.9
14580000	-4.8553	121.7221	-16275.708879838285	585	28	0.00500621	40.910763	0.923837	0.964584	0.010073597526876334	2	2	14792.9
14585000	-4.559	128.0942	-16262.008945450394	575	28	0.00354026	33.504324	0.925516	0.679456	0.011258287514449853	2	2	15337.42
14590000	-4.1466	140.1313	-16260.740063214675	584	30	0.00392895	23.193878	1.094751	0.981633	0.010940295181514997	3	4	14705.88
14595000	-4.7289	129.1367	-16271.318540962617	627	30	0.002993546	37.751448	1.317483	1.318279	0.01178505166018328	2	2	15060.24
14600000	-4.9782	143.6049	-16259.798983978748	587	30	0.002830633	43.982439	1.134348	0.596128	0.011745178626291496	3	4	14619.88
14605000	-4.6953	126.7139	-16261.700776350532	591	29	0.00366899	36.910608	1.143468	0.969247	0.01122476723266487	2	2	14836.8
14610000	-4.8364	139.3331	-16260.35398281999	598	29	0.00504278	40.438105	1.123745	1.508593	0.011742093584192778	4	4	15197.57
14615000	-4.4677	132.2161	-16270.386183908722	608	30	0.00457904	31.219681	1.294524	0.946193	0.011537574956996666	3	3	14970.06
14620000	-5.476	145.8975	-16260.71183414085	637	35	0.00340342	56.428676	0.98124	1.445842	0.011669890631212668	4	4	14662.76
14625000	-5.5314	139.7598	-16267.565967476854	625	31	0.00325851	57.811932	0.868829	1.241655	0.012464252298169746	3	3	14792.9
14630000	-4.4633	121.6193	-16261.000095243877	596	29	0.00456039	31.11117	0.930417	1.199941	0.011854453733078045	2	2	14245.01
14635000	-4.2485	134.2723	-16272.120384569245	606	30	0.00403891	25.739996	1.193433	0.667091	0.012133263270542068	3	3	14792.9
14640000	-4.8747	128.976	-16265.071753934637	582	28	0.0036697	41.396749	1.165904	0.946665	0.011403009469809159	2	2	14925.37
14645000	-7.8839	163.2681	-16268.87611154373	581	29	0.00338258	116.626181	0.76699	1.129585	0.013640207488317856	4	6	15197.57
