State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	a.freq	c.freq	g.freq	t.freq 	KappaR	KappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
5000	-3.2978	26.7746	-16319.435752102338	0.322041	1.972007	0.25624033940641117	0.25496594237609693	0.24199670743687068	0.24679701078062122	0.959425	1.191684	0.01050486071271441	0.01050486071271441	0	0	613	24	510.57
10000	-3.3822	59.4381	-16273.372835718996	0.0937826	4.083827	0.2520578594538651	0.2558219960039858	0.24686357244637122	0.2452565720957778	1.12139	0.711144	0.010165791985958848	0.010165791985958848	1	1	1039	27	7812.5
15000	-3.4219	112.3735	-16274.208341677917	0.00999266	5.075993	0.24974687847320914	0.2512138497846228	0.2549732711613986	0.24406600058076944	1.004358	1.268053	0.01214448722411864	0.01214448722411864	2	2	1508	28	13123.36
20000	-3.8658	121.6664	-16270.982243566235	0.00507013	16.173926	0.25139411275402	0.2534356799446989	0.25424644551222514	0.24092376178905597	1.112946	1.97978	0.012226809748786092	0.012226809748786092	2	2	1511	28	3289.47
25000	-4.5834	125.7873	-16272.973364060745	0.00360706	34.112936	0.2580328054001607	0.25429374629204543	0.2460176345903151	0.24165581371747874	1.004656	0.899465	0.009624277967336666	0.009624277967336666	2	2	1036	27	15527.95
30000	-4.1612	122.0149	-16270.03728457573	0.002157026	23.559046	0.24978528472324754	0.2568813960685971	0.2515875812747099	0.2417457379334454	1.261342	0.654496	0.01026205732727188	0.01026205732727188	2	2	974	28	16025.64
35000	-5.9672	135.1071	-16267.786585729193	0.00340619	68.7074	0.2574494535230092	0.25237941466008296	0.25276986637712273	0.237401265439785	0.978257	0.558021	0.011227881732676394	0.011227881732676394	3	3	1847	36	15576.32
40000	-4.8242	130.4755	-16276.577817973	0.0038013	40.132676	0.24328581343364988	0.2509226118467165	0.2579483362980439	0.24784323842158956	0.896486	1.696126	0.012111030789433635	0.012111030789433635	3	3	1518	28	16286.64
45000	-6.3201	123.1551	-16275.505076700407	0.00380445	77.530443	0.2508257555110657	0.25284415109650943	0.25398848776662825	0.24234160562579668	1.133697	0.750399	0.011914473687859613	0.011914473687859613	2	2	1517	28	16393.44
50000	-5.2188	134.3816	-16278.590357761888	0.003156327	49.998959	0.2505508773128865	0.25235828610826133	0.24947651415635133	0.2476143224225008	1.055208	0.812669	0.01086308081522079	0.01086308081522079	3	3	1501	28	16339.87
55000	-6.0655	134.6731	-16267.956338821077	0.00459251	71.165375	0.2533189908660603	0.24684076544771358	0.2526822690911787	0.24715797459504746	1.219376	0.952331	0.011088081732214565	0.011088081732214565	2	3	1472	28	15151.52
60000	-9.9509	170.5628	-16263.129610112966	0.00424976	168.301732	0.24462452401645537	0.24926956233264894	0.2580816403000273	0.2480242733508683	1.132837	1.02126	0.010556170688088921	0.010556170688088921	4	7	2386	31	16339.87
65000	-7.7165	157.9462	-16263.50451350201	0.002928884	112.441477	0.25370205957061187	0.2513767845559994	0.25231680043467825	0.24260435543871045	0.822559	2.408815	0.012519932036381971	0.012519932036381971	5	5	2333	32	16556.29
70000	-5.5635	147.2296	-16271.965800446416	0.00543595	58.614879	0.2526815275289029	0.24906368193980388	0.2480519589313961	0.25020283159989715	1.042162	0.944108	0.022858801883013473	0.010731447186404206	4	5	1873	30	16778.52
75000	-5.8558	135.8786	-16263.588838751635	0.00333987	65.922205	0.25334200547487956	0.25685255698021753	0.2486857540476164	0.24111968349728644	1.033672	0.938771	0.012765559659500304	0.012765559659500304	3	3	1896	31	16611.3
80000	-5.2951	143.168	-16261.95963422289	0.00327803	51.905555	0.2537013204716862	0.2529950297038675	0.24729093176241948	0.24601271806202687	1.18081	0.931944	0.010282773658823331	0.010282773658823331	4	4	2410	31	16666.67
85000	-6.4753	134.571	-16262.669823757606	0.00426307	81.410657	0.24562967114668954	0.2540913116200197	0.25240289762883816	0.2478761196044526	1.142912	1.148193	0.011503805141285336	0.011503805141285336	3	3	1939	30	16556.29
90000	-5.0935	147.0953	-16261.039599467988	0.003035216	46.865805	0.24917117775017958	0.25061651382857575	0.2531133343241636	0.24709897409708112	1.041913	0.872913	0.012644974332436762	0.012644974332436762	4	4	1913	31	16611.3
95000	-6.9448	146.4219	-16263.79486157994	0.002615391	93.147318	0.25653389103017915	0.24598620648539585	0.25354041394926674	0.24393948853515823	1.215856	0.666592	0.010686984939976267	0.010686984939976267	4	4	1526	29	17064.85
100000	-4.1964	150.4946	-16258.359342500069	0.00319171	24.43769	0.257121640051662	0.25270561814011705	0.24523422989573937	0.24493851191248156	1.106843	0.840085	0.012523143374089836	0.012523143374089836	3	5	1869	33	16501.65
105000	-6.0764	169.1796	-16265.787629122422	0.00361734	71.439041	0.246946915565215	0.25295447453714365	0.25639636018009804	0.2437022497175432	1.172681	0.929746	0.012121554004381693	0.012121554004381693	4	7	2241	36	14619.88
110000	-7.8513	143.0316	-16259.23386367281	0.00380883	115.811485	0.25992334587477345	0.25176658954014264	0.24989775720223648	0.2384123073828477	1.103598	0.865192	0.011386348290250654	0.011386348290250654	3	4	1879	33	14124.29
115000	-4.2166	132.9761	-16270.139957260493	0.00442793	24.942247	0.2622950498799593	0.24724516229697732	0.24680304857027263	0.24365673925279097	1.076454	0.575779	0.010222992934375803	0.010222992934375803	3	3	1510	28	15243.9
120000	-5.2274	122.4454	-16262.271857794924	0.00325507	50.212571	0.2505035225211548	0.24320956457062873	0.2554351853431329	0.25085172756508356	1.060456	0.575779	0.011259156112576408	0.011259156112576408	2	2	1483	29	16339.87
125000	-6.3875	126.2875	-16259.9790521284	0.00392213	79.215663	0.2490916315508644	0.2558513257400853	0.24764370723491588	0.24741333547413458	1.201752	0.800215	0.012472408156024191	0.012472408156024191	2	2	1546	28	3937.01
130000	-4.3092	137.5105	-16261.280843076856	0.00378201	27.257363	0.25387089059040785	0.24909901143422958	0.2544408800599582	0.24258921791540436	1.239848	0.800215	0.011637194992221715	0.011637194992221715	3	3	1987	29	16286.64
135000	-4.4368	135.3512	-16266.752287210658	0.00501807	30.447913	0.23980152030895485	0.25904727861374466	0.2516046639227153	0.24954653715458525	1.123948	0.800215	0.012071952941213056	0.012071952941213056	3	3	1983	30	16835.02
140000	-6.9345	135.4035	-16255.144136315397	0.00436152	92.891225	0.2539882070589742	0.2570442697161713	0.24785489990026585	0.24111262332458872	1.062005	0.800215	0.010926954367806505	0.010926954367806505	3	3	1510	28	16891.89
145000	-5.8086	139.1863	-16263.03659128096	0.002866379	64.743753	0.25305041007434703	0.255271497409109	0.24450796550731954	0.24717012700922447	0.873572	0.800215	0.011977446134483413	0.011977446134483413	3	3	1509	28	16778.52
150000	-4.862	132.5273	-16261.656581958037	0.0049868	41.077575	0.2534574747142053	0.24992485418533458	0.2477135852780465	0.24890408582241352	0.99446	1.448523	0.013725931955564697	0.013725931955564697	3	3	1546	28	17123.29
155000	-4.5406	141.8851	-16270.07133634669	0.0038902	33.043346	0.2543921917883986	0.2457740181688108	0.25249589795677435	0.24733789208601636	1.201377	1.448523	0.01189714574907873	0.01189714574907873	4	4	1914	32	16778.52
160000	-4.8003	129.1556	-16267.296691700634	0.00334102	39.536758	0.24513791666126397	0.25554961138119003	0.2562748968112145	0.24303757514633156	1.216635	1.270683	0.011468566192340556	0.011468566192340556	2	2	1507	29	16949.15
165000	-5.1068	129.0408	-16262.493130011351	0.0034139	47.197246	0.2537009776655276	0.24945054032705943	0.25003190574638295	0.24681657626102999	1.008745	1.270683	0.010331870018906321	0.010331870018906321	2	2	1520	30	17006.8
170000	-7.4219	125.3547	-16265.307530568867	0.002287578	105.07493	0.2465982564823261	0.25773981326411205	0.24628096989120846	0.24938096036235338	1.091419	0.864669	0.011391018699757435	0.011391018699757435	2	2	1509	28	16949.15
175000	-4.5535	127.6909	-16259.589838251124	0.00317064	33.365589	0.2511468649559685	0.25379809555810817	0.24721687034380943	0.24783816914211387	1.104509	0.864669	0.010454755455727468	0.010454755455727468	2	2	1519	30	16447.37
180000	-3.4313	118.6205	-16269.486674710339	0.00557538	5.310688	0.24854276572054312	0.25194578383660415	0.24524376358601574	0.25426768685683704	0.963063	1.192596	0.012827530302477725	0.012827530302477725	2	2	1538	30	17123.29
185000	-5.6982	129.4874	-16268.79931600155	0.00379927	61.983982	0.25622728579376935	0.24668918179245006	0.2476288045792162	0.24945472783456446	1.04633	1.144481	0.01039372287707604	0.01039372287707604	2	2	1504	30	16891.89
190000	-5.1406	114.1354	-16277.191705090689	0.00336033	48.044023	0.2592175781861854	0.2506765860752016	0.24477420497695546	0.24533163076165754	1.168264	1.202666	0.011245359821265826	0.011245359821265826	1	1	1034	28	16778.52
195000	-5.8684	146.785	-16264.159330212065	0.002780762	66.238411	0.25809225455832735	0.2553316788780511	0.2389440727641699	0.24763199379945167	1.062602	1.125808	0.012375790082539528	0.012375790082539528	3	4	1948	30	17123.29
200000	-4.0328	127.9147	-16260.726438057993	0.00357968	20.347879	0.24980049414103314	0.26007624768293824	0.24316617017523318	0.24695708800079536	1.159505	1.024976	0.01172010916709966	0.01172010916709966	3	3	1987	29	17182.13
205000	-5.7588	146.1329	-16261.913231230681	0.00368958	63.497566	0.24746578775464848	0.25173277650194703	0.2511358197870238	0.24966561595638065	0.926469	0.774617	0.02535351048171439	0.01346604636316157	3	5	1509	28	17667.84
210000	-5.5653	194.7642	-16261.610216275245	0.00336917	58.660329	0.2586050074612314	0.24999897035637703	0.2485917340101103	0.24280428817228134	0.945454	0.679162	0.018279874579010362	0.011329752013307604	5	10	1519	30	19762.85
215000	-4.1561	127.5128	-16266.781511034009	0.00343564	23.43125	0.2495302719032186	0.2523950246346316	0.2455727095106601	0.25250199395148964	1.33462	0.799164	0.013185911395506702	0.013185911395506702	2	2	1507	28	17985.61
220000	-5.9511	134.0814	-16261.738671119569	0.00484512	68.30614	0.25210623413455163	0.2525043647664876	0.2532873500800947	0.24210205101886623	1.328819	0.66169	0.010990532086008763	0.010990532086008763	3	3	1946	31	17182.13
225000	-6.0114	138.8894	-16260.134195758377	0.002924299	69.813637	0.24995100148734425	0.25215753138861474	0.24839754541266154	0.24949392171137935	1.336904	1.063975	0.011241911786969714	0.011241911786969714	3	3	932	30	17921.15
230000	-5.0617	126.1389	-16268.942031245027	0.00333691	46.070912	0.2557362455314577	0.24936325119900857	0.24323277646831318	0.2516677268012205	1.058644	0.820339	0.013028661046212232	0.013028661046212232	2	2	1654	28	17793.59
235000	-5.8446	143.4256	-16264.886236259517	0.00429619	65.644112	0.25672107198936406	0.24103437569222608	0.25226401745786653	0.24998053486054322	1.163184	0.612522	0.011276601260614425	0.011276601260614425	3	4	1923	29	17482.52
240000	-8.9047	163.0711	-16263.832744699519	0.00373417	142.146085	0.2559181791560668	0.2450041922743898	0.2515010331975192	0.24757659537202423	1.143546	0.86777	0.010266332991022404	0.010266332991022404	6	6	2403	31	17182.13
245000	-4.5237	133.2063	-16267.72188207856	0.0036506	32.619968	0.2550083824134409	0.25901878995840155	0.2466509990632098	0.2393218285649478	1.171893	1.018337	0.012240404217399803	0.012240404217399803	3	3	1544	28	17730.5
250000	-5.2914	128.5707	-16259.694766053697	0.00330254	51.813629	0.26056603928629346	0.25398359508329427	0.24739141070274026	0.23805895492767193	0.988608	0.801033	0.010814119413943876	0.010814119413943876	2	2	1510	28	17482.52
255000	-8.5798	143.7389	-16262.867894564812	0.00332413	134.02409	0.25177841901505715	0.25910668806994325	0.25208574001873657	0.23702915289626297	1.138067	0.950351	0.011804151745752774	0.011804151745752774	3	4	1510	28	17857.14
260000	-5.9619	136.7773	-16269.351407603404	0.00350137	68.575405	0.2562692088265645	0.24953950853601592	0.24950386152645496	0.24468742111096461	1.179868	2.023212	0.010889196853489795	0.010889196853489795	3	3	1447	30	16666.67
265000	-4.7841	125.6624	-16269.088823171107	0.00484645	39.130888	0.25608222931023905	0.25188691989786477	0.25070255858018176	0.24132829221171437	1.126883	0.924968	0.010771512157781583	0.010771512157781583	2	2	1543	29	17921.15
270000	-4.8564	126.7565	-16264.498301691852	0.003109988	40.938204	0.24856195181052163	0.2514798515095464	0.2524258466742137	0.24753235000571833	1.070363	0.784032	0.009718697270578553	0.009718697270578553	2	2	1489	30	16722.41
275000	-5.5276	126.985	-16267.834368699316	0.00425929	57.718716	0.2567882233441072	0.24427540630165032	0.2509173788522747	0.2480189915019678	1.133465	1.254605	0.013326098334339972	0.013326098334339972	2	2	1485	29	17921.15
280000	-4.7064	131.4815	-16260.059104014399	0.002981886	37.18824	0.25431049463204675	0.2505790087984826	0.2507265401538194	0.2443839564156513	1.093591	1.244242	0.011943810132082691	0.010952894336859517	2	3	1525	30	17543.86
285000	-3.6101	125.0645	-16257.356199556618	0.0038046	9.781689	0.2613887252700247	0.24941427359315452	0.2514844167305617	0.23771258440625906	1.033783	0.520538	0.011201503848780872	0.011201503848780872	2	2	1509	28	17730.5
290000	-3.7042	131.99	-16271.26553469121	0.00442406	12.133533	0.25670183544865594	0.24455006252433423	0.24575269147395976	0.25299541055305	1.134732	1.16341	0.012336479296788053	0.012336479296788053	3	3	1535	29	17857.14
295000	-4.2611	141.635	-16262.710155382716	0.00361433	26.055913	0.2440325340674474	0.2509224874509839	0.25522312681299675	0.24982185166857193	0.899087	0.862762	0.013813667412421377	0.013813667412421377	3	4	1510	28	17123.29
300000	-5.2741	146.7566	-16258.101648841493	0.002959041	51.381719	0.25131627274337354	0.2521815704746347	0.24987024813281464	0.24663190864917733	1.12021	0.710369	0.011404007095645808	0.011404007095645808	4	4	1881	33	17482.52
305000	-4.0662	120.2112	-16261.485113140498	0.002572324	21.1839	0.2502433682262768	0.25598728693747375	0.24817088944049365	0.24559845539575578	1.105444	1.039323	0.012505862052617696	0.012505862052617696	2	2	1509	28	17064.85
310000	-4.4213	126.2961	-16276.37550830658	0.00407947	30.060785	0.2485977738790996	0.25590922361347496	0.25084863304019506	0.24464436946723042	1.158106	0.77141	0.013393957470262525	0.013393957470262525	2	2	1524	28	18115.94
315000	-3.8507	129.7563	-16265.762469127632	0.002496694	15.794973	0.25509001534805226	0.2543062315106344	0.24679101698527683	0.24381273615603644	1.146841	0.885787	0.013499459460834206	0.013499459460834206	2	2	1510	28	18115.94
320000	-5.5134	134.9848	-16264.566903594758	0.00505149	57.363605	0.2546081023790037	0.2520072019464544	0.2535804822622202	0.23980421341232158	1.034321	1.246666	0.011998824836791735	0.011998824836791735	3	3	2028	30	17921.15
325000	-4.5363	128.471	-16261.52033038735	0.0040321	32.935609	0.2512356801218966	0.25365548493518825	0.2541740671332734	0.24093476780964176	1.041413	0.785883	0.011153946790376587	0.011153946790376587	2	2	1501	29	15625.0
330000	-7.4215	166.3742	-16268.444104767827	0.00660515	105.064616	0.2553783135874809	0.2559293215428241	0.2469952880455664	0.2416970768241285	1.008857	0.85358	0.01207146102747039	0.01207146102747039	5	7	1508	29	18050.54
335000	-4.9275	142.1478	-16265.044192880736	0.00392914	42.715025	0.2549002321398308	0.24940260785758941	0.2501457873877933	0.24555137261478654	1.19198	1.086681	0.012251521987290336	0.012251521987290336	4	4	1853	32	18796.99
340000	-3.9288	130.2969	-16258.071572615325	0.00377651	17.74712	0.24997603785026173	0.25393642728185445	0.25023719342877654	0.24585034143910714	1.096502	0.875632	0.013991527643468468	0.013991527643468468	3	3	1960	30	17605.63
345000	-5.1204	126.0257	-16262.619378652289	0.003133336	47.538011	0.2547682744056695	0.24894621031446845	0.24586516135388775	0.2504203539259743	1.181395	0.667183	0.010470611849357268	0.010470611849357268	2	2	1510	28	17985.61
350000	-4.4149	130.7822	-16265.40673244427	0.00368284	29.900517	0.25372938518407195	0.25453612564391875	0.25312215953006467	0.2386123296419446	1.271402	0.812011	0.016549363349003796	0.016549363349003796	3	3	1904	31	17921.15
355000	-6.3512	138.0325	-16266.069390512159	0.003026432	78.308861	0.25090374977964036	0.25132704428794583	0.24819468540159315	0.2495745205308206	0.984664	0.966243	0.010900775988277388	0.010900775988277388	3	3	1525	28	17667.84
360000	-5.0273	151.7379	-16266.382089821836	0.00341238	45.211365	0.25364079282081525	0.24773572453132717	0.24697789401483616	0.25164558863302133	0.919791	0.584775	0.016505603326879826	0.010808879244280764	5	5	2001	30	18726.59
365000	-5.418	154.3559	-16261.468002410527	0.00417669	54.978026	0.26335229024128815	0.2460536175303306	0.24595669675832746	0.24463739547005375	1.069254	0.988024	0.011769301492688263	0.011769301492688263	4	5	2252	35	17667.84
370000	-6.1536	151.5597	-16263.525357797951	0.00316999	73.367024	0.2551838612931321	0.25075053152015697	0.24487340890723727	0.24919219827947353	1.134165	1.117828	0.013043701285499693	0.013043701285499693	4	5	2233	38	17064.85
375000	-4.2458	130.9559	-16260.284189142256	0.00487612	25.67414	0.2515989139280433	0.2568953296709291	0.24657666194273672	0.244929094458291	1.072575	0.866703	0.01261125590524924	0.01261125590524924	3	3	1943	29	17301.04
380000	-5.0472	135.5897	-16262.45026672934	0.00497033	45.70806	0.25367293074686065	0.2523564581620474	0.2506086301629897	0.24336198092810232	1.101191	1.126911	0.011484917180152144	0.011484917180152144	3	3	1509	29	17857.14
