State 	ExpPrior[ constantRecRate ]	Coalescent	dataLikelihood	popSize	constantRecRate	a.freq	c.freq	g.freq	t.freq 	kappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
240000	-5.4535	224.4805	-20329.45809692129	0.01102444	55.866314	0.09642174549812949	0.204300282128447	0.2979403196239562	0.40133765274946726	4.174742	0.04145825912281204	0.04145825912281204	8	9	6554	70	6501.95
245000	-4.4804	204.3786	-20321.63537784043	0.01313015	31.537988	0.10144317410289312	0.19703914295240998	0.30756212210999984	0.39395556083469707	4.193489	0.03677468980204562	0.03677468980204562	6	6	7014	66	6657.79
250000	-3.9326	185.2252	-20321.838359290407	0.01178542	17.842926	0.10275545718187899	0.200332274117338	0.29691947149288056	0.3999927972079024	4.436846	0.03902713724002652	0.03902713724002652	4	4	7067	66	6289.31
255000	-4.6133	198.3665	-20322.83766693716	0.01055256	34.860637	0.10054055454401963	0.20038435688054373	0.30099467040601285	0.3980804181694238	4.691364	0.04442050945922689	0.04442050945922689	5	5	7104	64	6127.45
260000	-4.7994	208.1968	-20326.633315117346	0.01431877	39.512102	0.09990008499406997	0.19910785627389507	0.29907725586651196	0.4019148028655229	4.149876	0.03724197554906226	0.03724197554906226	7	7	8882	65	6476.68
265000	-4.0824	189.1263	-20328.636946936334	0.01205925	21.588237	0.09739373419723475	0.19411252384492017	0.3166624088559531	0.3918313331018919	3.724613	0.04071101290501698	0.04071101290501698	4	4	7191	63	6142.51
270000	-3.8208	192.8426	-20329.685809399154	0.01236977	15.04817	0.11195663702815983	0.19867629663917477	0.2986048386841173	0.390762227648548	4.125652	0.04363410274855577	0.04363410274855577	4	5	7221	63	6211.18
275000	-4.5317	193.5873	-20326.818884017976	0.01370088	32.820641	0.10706875797893856	0.1900023516753292	0.30341972964098896	0.39950916070474324	4.195568	0.043470534914720374	0.043470534914720374	5	5	6009	63	6305.17
280000	-4.2108	201.7696	-20308.456019784393	0.0114683	24.799284	0.1065056593820043	0.19023117521653252	0.30585511292008666	0.3974080524813764	3.983827	0.04569784982886986	0.04569784982886986	7	7	6722	70	5827.51
285000	-4.4767	198.6329	-20302.143881318563	0.01212561	31.446789	0.09986188310678484	0.1948165713178847	0.31337866476704124	0.3919428808082892	4.087868	0.0409811701856904	0.0409811701856904	5	5	7927	74	6640.11
290000	-4.3026	229.5993	-20301.72986886233	0.01381985	27.092077	0.0971687927151019	0.20022873781546618	0.3059445175408813	0.39665795192855074	3.462912	0.042655176919313836	0.042655176919313836	8	10	9907	82	6188.12
