State 	ExpPrior[ constantRecRate ]	Coalescent	dataLikelihood		baseSize	growthRate	constantRecRate	a.freq	c.freq	g.freq	t.freq 	kappaY	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
5000	-3.2815	110.8507	-87720.98782848364		0.00474499	-5.058432	1.564495	0.2545933328724551	0.24846888904251496	0.24846888904251496	0.24846888904251496	1.802482	0.0187830837146737	5	5	2740	40	257.47
10000	-3.3387	133.1969	-86663.7231643468		0.009809	-6.408906	2.995769	0.25051922327608633	0.2604952059793198	0.244492785372297	0.244492785372297	1.948297	0.01686792864914128	7	7	7163	51	4651.16
15000	-3.4965	152.7433	-86325.73607451012		0.00742629	-11.072555	6.940054	0.25051922327608633	0.2604952059793198	0.244492785372297	0.244492785372297	1.959258	0.016448306110187196	9	9	8209	58	5005.01
20000	-4.2624	180.2082	-86132.57604794488		0.00482077	-5.932808	26.089162	0.25051922327608633	0.2604952059793198	0.244492785372297	0.244492785372297	2.039159	0.01653532520855928	11	11	9519	62	4708.1
25000	-7.9634	244.6362	-85989.6989656271		0.00664201	8.474792	118.613844	0.2504577250214763	0.2604312587887908	0.24467824968292867	0.2444327665068043	1.952965	0.018298159168430944	16	17	9720	73	4916.42
30000	-11.28	278.2975	-85911.76855340942		0.00572382	13.47919	201.527513	0.25214859695760966	0.2598437590286332	0.2441262867055463	0.24388135730821087	2.131024	0.01590005805841585	16	20	10870	77	5257.62
35000	-12.8775	306.9057	-85784.7879416626		0.00466406	-11.217841	241.465522	0.25073065731162275	0.2583825461877348	0.2483768886060587	0.24250990789458374	1.88733	0.015815116152570214	19	23	13058	78	5219.21
40000	-12.0481	322.4772	-85661.93894802281		0.00557198	-14.703527	220.730791	0.25073065731162275	0.2583825461877348	0.2483768886060587	0.24250990789458374	1.893536	0.017062955950704978	20	25	11374	76	5422.99
45000	-12.8184	362.3138	-85459.91265453852		0.00516312	4.464143	239.988993	0.24891071605691512	0.2565070633076377	0.24657403230146138	0.248008188333986	2.030153	0.01729433920209822	22	30	12898	82	5494.51
50000	-8.1185	324.2032	-85288.2254837109		0.00576295	19.911084	122.491103	0.24814742136034004	0.2557204741074684	0.24888444325731074	0.24724766127488082	1.918256	0.017817646634111627	19	26	11433	85	5494.51
55000	-14.0429	352.5715	-85255.69681215152		0.00665608	79.306475	270.600176	0.2547570427378961	0.2534724063873342	0.24669647186048313	0.2450740790142866	1.93339	0.016298284461091585	19	28	11247	80	5411.26
60000	-12.8304	335.2981	-85256.41311074725		0.00419108	21.082137	240.289223	0.2547570427378961	0.2534724063873342	0.24669647186048313	0.2450740790142866	1.890785	0.016334270582427785	19	25	10134	79	5458.52
65000	-12.0634	255.8837	-85240.56466291717		0.00571187	80.845623	221.11336	0.2547570427378961	0.2534724063873342	0.24669647186048313	0.2450740790142866	2.112139	0.016498709890404268	15	17	9347	74	5055.61
70000	-11.746	389.0883	-85224.83490052115		0.00562843	36.902907	213.176963	0.2547570427378961	0.2534724063873342	0.24669647186048313	0.2450740790142866	1.983836	0.015512396002902674	21	32	9879	81	5506.61
75000	-10.8096	324.3446	-85221.34326174359		0.00605507	49.219439	189.76776	0.2547570427378961	0.2534724063873342	0.24669647186048313	0.2450740790142866	1.793517	0.01864424217029816	17	25	10326	73	6459.95
80000	-10.7466	260.2406	-85222.06485949448		0.00680538	34.201948	188.192623	0.25495577053994484	0.25534702525228375	0.24565637845354285	0.24404082575422834	1.922247	0.016877682712428014	16	18	9952	75	5727.38
85000	-11.7274	314.8023	-85217.42275075283		0.00527784	8.88278	212.713225	0.25495577053994484	0.25534702525228375	0.24565637845354285	0.24404082575422834	1.961568	0.016819296767797046	15	24	5805	74	5285.41
90000	-12.7843	321.7506	-85225.83220552334		0.00464571	-0.505069	239.134895	0.25495577053994484	0.25534702525228375	0.24565637845354285	0.24404082575422834	1.890024	0.01650972031496937	16	24	9181	76	5813.95
95000	-11.1139	283.5626	-85234.72203981504		0.00332849	12.852528	197.376453	0.25495577053994484	0.25534702525228375	0.24565637845354285	0.24404082575422834	1.925368	0.01611923933269575	16	20	9634	74	5580.36
100000	-12.588	323.5957	-85222.35652151535		0.00735165	46.564986	234.226996	0.2548299597238683	0.25522102136713276	0.24602861786757124	0.24392040104142773	1.904568	0.016214790983407754	16	25	8004	78	5555.56
105000	-9.4483	263.153	-85220.16107964609		0.00574903	35.366862	155.73644	0.2548299597238683	0.25522102136713276	0.24602861786757124	0.24392040104142773	1.99291	0.016511081809271033	15	18	9624	76	5081.3
110000	-8.7112	267.4515	-85227.13430205945		0.00565973	72.778659	137.30833	0.25538684945854034	0.2550302864218319	0.24584475270348702	0.24373811141614066	1.912014	0.015625030427002286	16	18	9164	75	5302.23
115000	-13.1167	309.8738	-85233.00181017998		0.00523299	39.901162	247.445038	0.25403240152884493	0.2545015137235608	0.2490206420068196	0.2424454427407747	1.827754	0.01797099103225757	17	23	9997	75	5376.34
120000	-14.8487	258.6062	-85233.14547873121		0.0052261	-20.343039	290.746512	0.25403240152884493	0.2545015137235608	0.2490206420068196	0.2424454427407747	1.858301	0.015806102480271828	15	17	10097	78	5428.88
125000	-9.6277	290.7396	-85230.77712415195		0.0042231	-20.525438	160.22133	0.25403240152884493	0.2545015137235608	0.2490206420068196	0.2424454427407747	1.917983	0.01611486638900698	17	21	11809	79	5319.15
130000	-8.1384	248.6476	-85224.72064788365		0.00481816	35.253198	122.988481	0.25403240152884493	0.2545015137235608	0.2490206420068196	0.2424454427407747	1.864469	0.016346904577310275	15	17	10490	79	5133.47
