State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	Kappa	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
635000	-4.4444	41.3645	-4002.7181156592346	0.02507457	30.639154	2.427212	0.08598351056675872	0.08598351056675872	4	4	682	17	31250.0
636000	-4.3681	47.1971	-4008.489522290951	0.0323242	28.729541	2.055595	0.04533960806317924	0.03911244417092036	2	5	536	16	27027.03
637000	-4.8868	62.0154	-4010.7698705284197	0.02203762	41.698955	2.40043	0.0712582282112941	0.0712582282112941	4	7	684	17	27777.78
638000	-3.9015	44.8257	-4005.4727973249123	0.0318163	17.064669	2.580291	0.04487122232163465	0.04487122232163465	4	4	683	17	27777.78
639000	-3.6922	48.7671	-4006.9840349399933	0.0374819	11.83232	2.618587	0.041344251628622666	0.041344251628622666	2	5	539	16	29411.76
640000	-4.1512	61.9118	-4001.9101411494194	0.0450931	23.307266	2.637029	0.0947504006650891	0.04009501472370698	2	9	536	16	32258.06
641000	-4.5625	50.6007	-4000.675906949803	0.0172112	33.589992	2.779101	0.040961658878047265	0.040961658878047265	4	5	503	18	33333.33
642000	-4.4497	72.0617	-4005.8799728985814	0.02337341	30.771012	3.374257	0.038980668979301004	0.038980668979301004	6	8	537	16	30303.03
643000	-4.2687	59.2703	-4002.0221668788768	0.01933929	26.245505	2.353146	0.04529481079078701	0.04529481079078701	5	6	535	19	32258.06
644000	-5.1988	62.4974	-4010.1236560930924	0.0380859	49.499322	3.23756	0.05324013583358331	0.04292611096427801	5	8	850	24	28571.43
645000	-6.0479	84.9534	-4006.052974126251	0.01681616	70.725323	2.2904	0.04160221212138333	0.04160221212138333	6	10	540	16	31250.0
646000	-6.5726	124.7395	-4007.2912104545762	0.0321749	83.843232	2.153606	0.037746626990397984	0.037746626990397984	11	17	967	20	28571.43
647000	-5.9783	146.156	-4003.780962813833	0.0338511	68.984875	2.949434	0.04855050509661134	0.04855050509661134	4	21	684	17	28571.43
648000	-4.6845	115.6485	-4007.847320814717	0.01872228	36.640903	2.939411	0.035994401843938255	0.035994401843938255	8	15	932	21	28571.43
